ID,x,y,z
1,3830.64,-4313.84,-1587.91
2,829.52,-3020.46,3117.12
3,3173.27,190.78,3224.05
4,617.27,-2674.3,-1277.9
5,980.69,1681.1,-2803.31
6,-5080.62,-1493.04,1527.06
7,366.44,1702.69,-1672.84
8,994.98,-1558.25,-646.43
9,-736.48,-1248.05,2028.79
10,-1290.54,-2732.26,4852.14
11,-1958.91,2706.65,1153.56
12,4550.75,-3569.22,-1370.61
13,2589.66,2812.93,1182.14
14,-173.34,591.15,1001.81
15,1403.96,-1014.51,-417.53
16,2471.56,5214.43,-1271.29
17,-2556.47,1174.72,2226.39
18,-5363.83,400.72,1130.96
19,-21.54,-1077.83,-1120.11
20,2488.97,-3174.9,-3800.17
21,2486.68,-3748.67,961.69
22,3013.28,3531.28,-2398.33
23,1466.74,-1016.38,4534.32
24,2534.66,2003.99,1789.45
25,3882.92,-2059.61,3562.23
26,-1147.84,-1189.83,2392.59
27,732.45,364.66,-2004.18
28,1229.53,-2617.96,-1356.66
29,1135.3,-3188.75,1732.88
30,3300.12,-784.76,-2264.84
31,-1127.79,730.47,-5091.37
32,-1449.86,657.0,-4194.63
33,635.95,4631.74,1196.19
34,5341.89,1636.75,-1787.21
35,-5736.65,-262.26,-575.55
36,4481.8,308.6,-2473.5
37,-3988.86,2176.02,1504.45
38,-2743.47,-2766.92,2458.57
39,499.54,3080.11,3203.81
40,-1038.62,2292.17,-2699.45
41,4005.81,2017.2,-1604.26
42,-549.91,3502.55,-861.38
43,-628.46,1845.51,-2886.64
44,2798.61,-401.12,-863.8
45,-1122.08,-3012.58,-5010.98
46,-802.76,887.01,3167.29
47,1409.42,-1063.95,4821.9
48,2517.55,2829.97,-2071.77
49,-402.67,-2717.08,-236.72
50,-3690.63,638.49,3011.5
51,545.61,-1944.83,1999.41
52,-3305.68,87.88,-3117.86
53,-3642.78,-3152.24,-3154.8
54,-1083.58,-2500.56,-2994.95
55,1951.5,1753.76,-4084.18
56,2909.15,1929.82,-3145.76
57,1638.05,-3948.69,3087.31
58,-2994.63,-472.92,-4255.97
59,1787.91,2365.0,4563.25
60,4562.42,22.99,-3160.4
61,2403.82,891.88,4764.78
62,745.14,-1259.53,-3380.64
63,-1113.78,-1446.45,762.51
64,-604.09,2936.13,5003.19
65,5529.68,1788.26,717.61
66,482.09,-1893.4,1322.85
67,-3091.98,-246.93,-936.45
68,3181.51,3818.95,-2825.41
69,1979.1,1413.45,-3369.24
70,766.9,4726.25,-3091.37
71,-1770.21,3581.33,2275.85
72,-1557.69,555.8,3376.94
73,1610.58,-3332.11,187.17
74,3142.9,3347.54,1720.99
75,3860.92,416.82,3688.14
76,1411.62,2872.12,4163.14
77,-3523.35,-2273.02,2525.11
78,-1310.87,1446.36,528.34
79,1338.2,-868.78,-852.03
80,-3266.83,-4029.67,743.11
81,-2194.03,-1966.25,1719.12
82,1389.9,1809.12,4088.17
